Unique ID; Name; Patronym; Lastname; Sex; Father ID; Mother ID; Spouse ID; Birth; Death; Age; Race; Human%; Orc%
74;Ian;;Schwarz;Male;42;44;80;145;223;78;Half-Orc;75.0;25.0
75;Gra-kr-fr-pa;;Zul-ur-urk-pa;Male;17;13;;145;234;89;Orc;0.0;100.0
76;Berta;;Bergmann;Female;47;50;66;145;222;77;Human;100.0;0.0
77;Uwe;;Uwes;Male;21;4;100;147;224;77;Half-Orc;50.0;50.0
78;Tobias;;Meier;Male;42;44;109;149;226;77;Half-Orc;75.0;25.0
79;Gra-ar-kry-go;;Zul-zey-fry-zag;Male;48;55;;150;230;80;Orc;0.0;100.0
80;Hildegard;;Johanns;Female;18;8;74;151;219;68;Human;100.0;0.0
81;Frieda;;Lang;Female;11;14;60;151;238;87;Human;100.0;0.0
82;Karl;;Karls;Male;3;6;101;152;240;88;Human;100.0;0.0
83;Michael;;Krause;Male;34;27;;154;155;1;Half-Orc;50.0;50.0
84;Hans;;Hanss;Male;32;24;94;154;235;81;Human;100.0;0.0
85;Erika;;Reinhardts;Female;40;30;87;154;221;67;Human;100.0;0.0
86;Erik;;Johanns;Male;43;25;;154;155;1;Half-Orc;50.0;50.0
87;Johannes;;Schwarz;Male;20;22;85;155;243;88;Human;100.0;0.0
88;Eva;;Franzs;Female;21;4;;156;158;2;Half-Orc;50.0;50.0
89;Hans;;Hanss;Male;58;62;97;156;244;88;Human;100.0;0.0
90;Olaf;;Bergmann;Male;47;50;;156;157;1;Human;100.0;0.0
91;Gra-ar-ra-za;;Franzs;Male;57;63;106;157;225;68;Half-Orc;75.0;25.0
92;Erika;;Friedrichs;Female;20;22;;159;162;3;Human;100.0;0.0
93;Gra-pe-fr-pa;;Zul-kr-pa-kry;Male;48;55;;160;229;69;Orc;0.0;100.0
94;Wilhelmina;;Eriks;Female;45;65;84;160;229;69;Human;100.0;0.0
95;Va-arz-kr-zag;;Klauss;Female;51;64;;161;162;1;Half-Orc;25.0;75.0
96;Uta;;Bergmann;Female;47;50;;162;164;2;Human;100.0;0.0
97;Uta;;Reinhardts;Female;40;30;89;163;231;68;Human;100.0;0.0
98;Uwe;;Uwes;Male;43;25;102;163;230;67;Half-Orc;50.0;50.0
99;Erik;;Eriks;Male;67;73;105;163;240;77;Half-Orc;75.0;25.0
100;Laura;;Krause;Female;34;27;77;163;240;77;Half-Orc;50.0;50.0
101;Nina;;Tischler;Female;66;76;82;164;235;71;Human;100.0;0.0
102;Wilhelmina;;Lang;Female;11;14;98;164;251;87;Human;100.0;0.0
103;Gra-kr-kro-pa;;Zul-zak-ze-fry;Male;48;55;136;166;244;78;Orc;0.0;100.0
104;Adam;;Müller;Male;58;62;113;167;245;78;Human;100.0;0.0
105;Sonja;;Krause;Female;42;44;99;168;248;80;Half-Orc;75.0;25.0
106;Lisa;;Kunst;Female;32;24;91;168;246;78;Human;100.0;0.0
107;Adam;;Kunst;Male;34;27;117;168;246;78;Half-Orc;50.0;50.0
108;Wilhelmina;;Franzs;Female;57;63;;169;170;1;Half-Orc;75.0;25.0
109;Sonja;;Schwarz;Female;67;73;78;169;257;88;Half-Orc;75.0;25.0
110;Wilhelmina;;Schwarz;Female;74;80;111;169;252;83;Human;87.5;12.5
111;Franz;;Klein;Male;60;81;110;169;236;67;Human;100.0;0.0
112;Wilhelmina;;Bergmann;Female;47;50;;169;170;1;Human;100.0;0.0
113;Bärbel;;Eriks;Female;45;65;104;170;247;77;Human;100.0;0.0
114;Marie;;Bergmann;Female;20;22;148;171;238;67;Human;100.0;0.0
115;Wilhelmina;;Schwarz;Female;87;85;;172;173;1;Human;100.0;0.0
116;Ian;;Klein;Male;51;64;139;173;260;87;Half-Orc;25.0;75.0
117;Laura;;Fischer;Female;40;30;107;173;262;89;Human;100.0;0.0
118;Gra-ze-zar-za;;Zul-gy-urk-kry;Male;48;55;129;174;262;88;Orc;0.0;100.0
119;Bärbel;;Schröder;Female;32;24;;174;175;1;Human;100.0;0.0
120;Laura;;Schwarz;Female;74;80;;177;178;1;Human;87.5;12.5
121;Laura;;Tischler;Female;66;76;151;177;265;88;Human;100.0;0.0
122;Bärbel;;Bergmann;Female;20;22;125;177;265;88;Human;100.0;0.0
123;Gra-arz-za-urk;;Schwarz;Male;67;73;;177;178;1;Half-Orc;75.0;25.0
124;Eva;;Klein;Female;58;62;126;177;247;70;Human;100.0;0.0
125;Johannes;;Johanness;Male;42;44;122;177;244;67;Half-Orc;75.0;25.0
126;Günter;;Schreiber;Male;45;65;124;178;255;77;Human;100.0;0.0
127;Va-zar-go-zak;;Franzs;Female;57;63;;178;179;1;Half-Orc;75.0;25.0
128;Berta;;Hanss;Female;84;94;182;179;256;77;Human;100.0;0.0
129;Va-r-za-ar;;Uwes;Female;77;100;118;181;258;77;Half-Orc;50.0;50.0
130;Marie;;Hanss;Female;89;97;132;181;271;90;Human;100.0;0.0
131;Friedrich;;Uwes;Male;98;102;;182;183;1;Half-Orc;75.0;25.0
132;Friedrich;;Friedrichs;Male;51;64;130;182;261;79;Half-Orc;25.0;75.0
133;Erik;;Bergmann;Male;47;50;;182;183;1;Human;100.0;0.0
134;Gra-zag-urk-pa;;Schwarz;Male;67;73;;183;185;2;Half-Orc;75.0;25.0
135;Uta;;Hanss;Female;84;94;;183;184;1;Human;100.0;0.0
136;Svenja;;Reinhardts;Female;40;30;103;184;252;68;Human;100.0;0.0
137;Günter;;Schwarz;Male;87;85;;184;186;2;Human;100.0;0.0
138;Stephen;;Karls;Male;82;101;;185;186;1;Human;100.0;0.0
139;Nina;;Gra-ar-ra-zas;Female;91;106;116;186;276;90;Human;87.5;12.5
140;Klaus;;Krause;Male;34;27;;186;187;1;Half-Orc;50.0;50.0
141;Hans;;Klein;Male;58;62;;186;187;1;Human;100.0;0.0
142;Sonja;;Schreiber;Female;60;81;155;186;254;68;Human;100.0;0.0
143;Ian;;Meier;Male;45;65;149;187;254;67;Human;100.0;0.0
144;Va-kry-zar-go;;Meier;Female;78;109;184;187;254;67;Half-Orc;75.0;25.0
145;Va-pa-za-ur;;Klauss;Female;51;64;152;187;264;77;Half-Orc;25.0;75.0
146;Gra-zag-fr-kro;;Eriks;Male;99;105;;187;188;1;Half-Orc;75.0;25.0
147;Va-pa-r-fr;;Zul-zey-fry-zag;Female;48;55;150;187;254;67;Orc;0.0;100.0
148;Stephen;;Fels;Male;66;76;114;188;259;71;Human;100.0;0.0
149;Erika;;Klein;Female;47;50;143;189;266;77;Human;100.0;0.0
150;Wilhelm;;Lang;Male;40;30;147;189;267;78;Human;100.0;0.0
151;Günter;;Günters;Male;104;113;121;189;278;89;Human;100.0;0.0
152;Reinhardt;;Reinhardts;Male;42;44;145;189;266;77;Half-Orc;75.0;25.0
153;Va-zak-ur-ga;;Franzs;Female;57;63;177;190;269;79;Half-Orc;75.0;25.0
154;Lisa;;Karls;Female;82;101;183;190;267;77;Human;100.0;0.0
155;Ian;;Schmied;Male;111;110;142;190;267;77;Human;93.75;6.25
156;Johannes;;Klauss;Male;51;64;;191;192;1;Half-Orc;25.0;75.0
157;Günter;;Hanss;Male;89;97;;191;194;3;Human;100.0;0.0
158;Uta;;Hanss;Female;84;94;163;192;279;87;Human;100.0;0.0
159;Va-ar-ze-za;;Meier;Female;78;109;188;192;273;81;Half-Orc;75.0;25.0
160;Frieda;;Schwarz;Female;87;85;;192;193;1;Human;100.0;0.0
161;Va-zey-go-fr;;Eriks;Female;99;105;;193;194;1;Half-Orc;75.0;25.0
162;Va-zey-urz-pe;;Kunst;Female;107;117;;193;194;1;Half-Orc;75.0;25.0
163;Gra-fry-zak-arz;;Gra-fry-zak-arzs;Male;98;102;158;194;272;78;Half-Orc;75.0;25.0
164;Reinhardt;;Müller;Male;104;113;;195;198;3;Human;100.0;0.0
165;Va-go-r-pe;;Meier;Female;78;109;;195;196;1;Half-Orc;75.0;25.0
166;Johanna;;Schwarz;Female;74;80;185;196;283;87;Human;87.5;12.5
167;Hildegard;;Reinhardts;Female;40;30;186;196;265;69;Human;100.0;0.0
168;Laura;;Hanss;Female;89;97;211;196;274;78;Human;100.0;0.0
169;Johannes;;Rot;Male;60;81;;197;198;1;Human;100.0;0.0
170;Laura;;Schreiber;Female;126;124;190;197;277;80;Human;100.0;0.0
171;Va-fr-zey-urz;;Zul-arz-kr-zag;Female;48;55;191;197;264;67;Orc;0.0;100.0
172;Marie;;Schwarz;Female;67;73;189;198;285;87;Half-Orc;75.0;25.0
173;Laura;;Schwarz;Female;87;85;195;199;287;88;Human;100.0;0.0
174;Peter;;Uwes;Male;98;102;;199;200;1;Half-Orc;75.0;25.0
175;Olaf;;Johanness;Male;125;122;;199;200;1;Human;87.5;12.5
176;Gra-r-zak-arz;;Zul-gy-urk-kry;Male;118;129;;200;202;2;Half-Orc;25.0;75.0
177;Friedrich;;Friedrichs;Male;77;100;153;200;257;57;Half-Orc;50.0;50.0
178;Eva;;Klein;Female;58;62;248;201;288;87;Human;100.0;0.0
179;Klaus;;Kunst;Male;111;110;187;201;280;79;Human;93.75;6.25
180;Gra-zey-fry-ra;;Klauss;Male;51;64;;202;203;1;Half-Orc;25.0;75.0
181;Johanna;;Karls;Female;82;101;;202;203;1;Human;100.0;0.0
182;Maximilian;;Maximilians;Male;104;113;128;202;270;68;Human;100.0;0.0
183;Friedrich;;Friedrichs;Male;126;124;154;203;273;70;Human;100.0;0.0
184;Hermann;;Krause;Male;99;105;144;203;271;68;Half-Orc;75.0;25.0
185;Karl;;Müller;Male;107;117;166;203;291;88;Half-Orc;75.0;25.0
186;Gra-r-pe-ra;;Lang;Male;103;136;167;203;280;77;Half-Orc;50.0;50.0
187;Nina;;Gra-ar-ra-zas;Female;91;106;179;203;280;77;Human;87.5;12.5
188;Reinhardt;;Reinhardts;Male;74;80;159;203;271;68;Human;87.5;12.5
189;Hermann;;Kunst;Male;42;44;172;204;291;87;Half-Orc;75.0;25.0
190;Adam;;Tischler;Male;67;73;170;204;291;87;Half-Orc;75.0;25.0
191;Maximilian;;Maximilians;Male;66;76;171;205;295;90;Human;100.0;0.0
192;Va-ur-fry-ra;;Friedrichs;Female;132;130;;205;206;1;Half-Orc;62.5;37.5
193;Adam;;Fels;Male;148;114;;205;206;1;Human;100.0;0.0
194;Eva;;Hanss;Female;89;97;224;206;294;88;Human;100.0;0.0
195;Ian;;Klein;Male;58;62;173;206;294;88;Human;100.0;0.0
196;Sonja;;Eriks;Female;45;65;205;206;294;88;Human;100.0;0.0
197;Va-ra-za-kro;;Uwes;Female;77;100;;206;207;1;Half-Orc;50.0;50.0
198;Maximilian;;Fischer;Male;78;109;199;206;294;88;Half-Orc;75.0;25.0
199;Sonja;;Schwarz;Female;87;85;198;207;296;89;Human;100.0;0.0
200;Gra-pe-fr-ar;;Krause;Male;98;102;;207;209;2;Half-Orc;75.0;25.0
201;Hans;;Schmied;Male;155;142;;208;209;1;Human;96.875;3.125
202;Sonja;;Franzs;Female;57;63;210;208;277;69;Half-Orc;75.0;25.0
203;Va-fry-zar-urz;;Klein;Female;116;139;232;208;275;67;Half-Orc;56.25;43.75
204;Ben;;Meier;Male;143;149;;208;209;1;Human;100.0;0.0
205;Hermann;;Hermanns;Male;84;94;196;209;286;77;Human;100.0;0.0
206;Hans;;Günters;Male;151;121;;209;211;2;Human;100.0;0.0
207;Michaela;;Karls;Female;82;101;;210;211;1;Human;100.0;0.0
208;Va-zar-fr-urk;;Reinhardts;Female;152;145;219;210;277;67;Half-Orc;50.0;50.0
209;Va-pa-kr-pe;;Friedrichs;Female;132;130;;210;211;1;Half-Orc;62.5;37.5
210;Wilhelm;;Meier;Male;150;147;202;210;277;67;Half-Orc;50.0;50.0
211;Hans;;Schröder;Male;91;106;168;210;269;59;Human;87.5;12.5
212;Va-kr-ra-ze;;Zul-zak-ze-fry;Female;103;136;228;211;288;77;Half-Orc;50.0;50.0
213;Va-kr-go-kro;;Zul-gy-urk-kry;Female;118;129;216;211;299;88;Half-Orc;25.0;75.0
214;Eva;;Klein;Female;116;139;;211;213;2;Half-Orc;56.25;43.75
215;Va-gy-za-ar;;Kunst;Female;107;117;;211;215;4;Half-Orc;75.0;25.0
216;Friedrich;;Friedrichs;Male;125;122;213;211;281;70;Human;87.5;12.5
217;Eva;;Schreiber;Female;60;81;269;212;279;67;Human;100.0;0.0
218;Günter;;Krause;Male;51;64;244;212;280;68;Half-Orc;25.0;75.0
219;Maximilian;;Müller;Male;66;76;208;212;290;78;Human;100.0;0.0
220;Adam;;Franzs;Male;57;63;;213;214;1;Half-Orc;75.0;25.0
221;Adam;;Gra-fry-zak-arzs;Male;163;158;;214;215;1;Human;87.5;12.5
222;Laura;;Klein;Female;58;62;;214;215;1;Human;100.0;0.0
223;Adam;;Meier;Male;143;149;;214;215;1;Human;100.0;0.0
224;Johann;;Bergmann;Male;148;114;194;215;282;67;Human;100.0;0.0
225;Wilhelmina;;Uwes;Female;98;102;291;215;306;91;Half-Orc;75.0;25.0
226;Franz;;Hanss;Male;89;97;;215;216;1;Human;100.0;0.0
227;Johannes;;Klein;Male;111;110;;215;216;1;Human;93.75;6.25
228;Klaus;;Klauss;Male;155;142;212;215;292;77;Human;96.875;3.125
229;Günter;;Müller;Male;87;85;236;216;306;90;Human;100.0;0.0
230;Gra-fry-zar-ra;;Gra-fry-zar-ras;Male;77;100;247;216;288;72;Half-Orc;50.0;50.0
231;Friedrich;;Tischler;Male;74;80;262;216;285;69;Human;87.5;12.5
232;Erik;;Eriks;Male;84;94;203;216;294;78;Human;100.0;0.0
233;Friedrich;;Reinhardts;Male;152;145;;217;219;2;Half-Orc;50.0;50.0
234;Hildegard;;Friedrichs;Female;132;130;238;217;304;87;Half-Orc;62.5;37.5
235;Eva;;Schreiber;Female;60;81;;218;219;1;Human;100.0;0.0
236;Frieda;;Meier;Female;116;139;229;218;299;81;Half-Orc;56.25;43.75
237;Karl;;Karls;Male;104;113;242;219;298;79;Human;100.0;0.0
238;Günter;;Bergmann;Male;99;105;234;219;288;69;Half-Orc;75.0;25.0
239;Bärbel;;Johanness;Female;125;122;;219;220;1;Human;87.5;12.5
240;Karl;;Günters;Male;151;121;;219;220;1;Human;100.0;0.0
241;Hans;;Meier;Male;143;149;;220;222;2;Human;100.0;0.0
242;Alberta;;Maximilians;Female;182;128;237;220;287;67;Human;100.0;0.0
243;Lena;;Gra-ar-ra-zas;Female;91;106;;220;221;1;Human;87.5;12.5
244;Va-zag-za-pa;;Krause;Female;184;144;218;220;307;87;Half-Orc;75.0;25.0
245;Johannes;;Johanness;Male;66;76;260;221;288;67;Human;100.0;0.0
246;Johann;;Lang;Male;150;147;;221;222;1;Half-Orc;50.0;50.0
247;Uta;;Karls;Female;82;101;230;221;308;87;Human;100.0;0.0
248;Michael;;Friedrichs;Male;183;154;178;221;289;68;Human;100.0;0.0
249;Alberta;;Schreiber;Female;126;124;251;221;291;70;Human;100.0;0.0
250;Va-zag-kro-ra;;Friedrichs;Female;177;153;294;221;311;90;Half-Orc;62.5;37.5
251;Klaus;;Klauss;Male;111;110;249;222;303;81;Human;93.75;6.25
252;Wilhelmina;;Meier;Female;78;109;305;222;290;68;Half-Orc;75.0;25.0
253;Gra-fr-ga-urk;;Franzs;Male;57;63;;222;223;1;Half-Orc;75.0;25.0
254;Franz;;Schreiber;Male;132;130;258;223;291;68;Half-Orc;62.5;37.5
255;Erika;;Reinhardts;Female;188;159;273;223;290;67;Human;81.25;18.75
256;Eva;;Uwes;Female;98;102;281;223;302;79;Half-Orc;75.0;25.0
257;Hildegard;;Groß;Female;84;94;;223;224;1;Human;100.0;0.0
258;Sonja;;Maximilians;Female;191;171;254;223;290;67;Half-Orc;50.0;50.0
259;Va-go-kr-kro;;Zul-zak-ze-fry;Female;103;136;;223;224;1;Half-Orc;50.0;50.0
260;Va-kry-ra-go;;Lang;Female;186;167;245;223;301;78;Half-Orc;75.0;25.0
261;Johannes;;Kunst;Male;179;187;;224;225;1;Human;90.625;9.375
262;Marie;;Klein;Female;195;173;231;224;311;87;Human;100.0;0.0
263;Michaela;;Friedrichs;Female;177;153;271;224;291;67;Half-Orc;62.5;37.5
264;Va-urz-zak-pa;;Zul-gy-urk-kry;Female;118;129;;225;226;1;Half-Orc;25.0;75.0
265;Stephen;;Fels;Male;148;114;;225;226;1;Human;100.0;0.0
266;Berta;;Maximilians;Female;182;128;270;225;282;57;Human;100.0;0.0
267;Uta;;Johanness;Female;125;122;277;225;292;67;Human;87.5;12.5
268;Reinhardt;;Kunst;Male;189;172;;225;226;1;Half-Orc;75.0;25.0
269;Uwe;;Lang;Male;82;101;217;226;313;87;Human;100.0;0.0
270;Friedrich;;Günters;Male;151;121;266;226;283;57;Human;100.0;0.0
271;Adam;;Adams;Male;89;97;263;226;307;81;Human;100.0;0.0
272;Hans;;Schulz;Male;51;64;357;227;299;72;Half-Orc;25.0;75.0
273;Wilhelm;;Wilhelms;Male;190;170;255;227;314;87;Human;87.5;12.5
274;Michaela;;Müller;Female;185;166;;227;228;1;Human;81.25;18.75
275;Va-urk-arz-pa;;Uwes;Female;77;100;;227;228;1;Half-Orc;50.0;50.0
276;Olaf;;Schwarz;Male;99;105;;228;229;1;Half-Orc;75.0;25.0
277;Tobias;;Schütze;Male;111;110;267;228;295;67;Human;93.75;6.25
278;Hildegard;;Meier;Female;143;149;;228;230;2;Human;100.0;0.0
279;Gra-r-zak-arz;;Schröder;Male;78;109;283;228;307;79;Half-Orc;75.0;25.0
280;Va-ga-gy-pa;;Friedrichs;Female;132;130;;228;229;1;Half-Orc;62.5;37.5
281;Uwe;;Klein;Male;107;117;256;228;315;87;Half-Orc;75.0;25.0
282;Reinhardt;;Friedrichs;Male;183;154;;228;230;2;Human;100.0;0.0
283;Nina;;Hermanns;Female;205;196;279;228;315;87;Human;100.0;0.0
284;Svenja;;Franzs;Female;91;106;301;228;305;77;Human;87.5;12.5
285;Albert;;Reinhardts;Male;152;145;;228;230;2;Half-Orc;50.0;50.0
286;Gra-ga-gy-pa;;Gra-ga-gy-pas;Male;210;202;333;229;308;79;Half-Orc;62.5;37.5
287;Va-ze-go-fr;;Kunst;Female;189;172;;229;230;1;Half-Orc;75.0;25.0
288;Lena;;Johanness;Female;125;122;;229;230;1;Human;87.5;12.5
289;Friedrich;;Friedrichs;Male;198;199;298;230;317;87;Human;87.5;12.5
290;Uwe;;Franzs;Male;155;142;;230;231;1;Human;96.875;3.125
291;Gra-fry-zar-pe;;Tischler;Male;103;136;225;230;318;88;Half-Orc;50.0;50.0
292;Heinrich;;Heinrichs;Male;150;147;297;230;301;71;Half-Orc;50.0;50.0
293;Gra-ur-urk-pa;;Uwes;Male;98;102;;230;232;2;Half-Orc;75.0;25.0
294;Gra-ar-zar-urz;;Lang;Male;184;144;250;230;309;79;Half-Orc;75.0;25.0
295;Uta;;Gra-fry-zak-arzs;Female;163;158;;231;232;1;Human;87.5;12.5
296;Hermann;;Hermanns;Male;126;124;300;231;318;87;Human;100.0;0.0
297;Wilhelmina;;Günters;Female;151;121;292;231;299;68;Human;100.0;0.0
298;Lisa;;Reinhardts;Female;188;159;289;231;318;87;Human;81.25;18.75
299;Maximilian;;Maximilians;Male;191;171;;231;232;1;Half-Orc;50.0;50.0
300;Bärbel;;Schreiber;Female;60;81;296;231;310;79;Human;100.0;0.0
301;Günter;;Krause;Male;205;196;284;232;300;68;Human;100.0;0.0
302;Reinhardt;;Schröder;Male;211;168;;232;233;1;Human;93.75;6.25
303;Va-kr-pa-kry;;Kunst;Female;189;172;308;232;323;91;Half-Orc;75.0;25.0
304;Michaela;;Tischler;Female;190;170;;232;233;1;Human;87.5;12.5
305;Gra-pa-kr-kry;;Gra-pa-kr-krys;Male;118;129;252;232;304;72;Half-Orc;25.0;75.0
306;Lisa;;Friedrichs;Female;216;213;;232;233;1;Half-Orc;56.25;43.75
307;Ben;;Bens;Male;104;113;360;232;289;57;Human;100.0;0.0
308;Olaf;;Schröder;Male;195;173;303;232;321;89;Human;100.0;0.0
309;Johanna;;Maximilians;Female;182;128;330;232;301;69;Human;100.0;0.0
310;Alberta;;Kunst;Female;179;187;328;232;313;81;Human;90.625;9.375
311;Johann;;Klein;Male;111;110;;233;235;2;Human;93.75;6.25
312;Adam;;Müller;Male;148;114;319;233;321;88;Human;100.0;0.0
313;Ben;;Fischer;Male;198;199;;234;238;4;Human;87.5;12.5
314;Olga;;Friedrichs;Female;132;130;327;234;314;80;Half-Orc;62.5;37.5
315;Nina;;Eriks;Female;232;203;329;235;304;69;Human;78.125;21.875
316;Erika;;Klauss;Female;228;212;346;235;313;78;Half-Orc;73.4375;26.5625
317;Reinhardt;;Reinhardts;Male;91;106;324;235;304;69;Human;87.5;12.5
318;Michaela;;Bergmann;Female;224;194;326;235;303;68;Human;100.0;0.0
319;Va-zar-zag-zey;;Meier;Female;210;202;312;235;322;87;Half-Orc;62.5;37.5
320;Lena;;Eriks;Female;99;105;;235;236;1;Half-Orc;75.0;25.0
321;Günter;;Tischler;Male;183;154;322;235;302;67;Human;100.0;0.0
322;Uta;;Tischler;Female;190;170;321;235;292;57;Human;87.5;12.5
323;Bärbel;;Müller;Female;219;208;;235;237;2;Half-Orc;75.0;25.0
324;Alberta;;Schmied;Female;155;142;317;235;306;71;Human;96.875;3.125
325;Karl;;Uwes;Male;77;100;;235;236;1;Half-Orc;50.0;50.0
